SiteID,Date,DO_mgL,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,Phosphorus,"Biochemical oxygen demand, standard conditions",Cond_uS_cm,Ammonia-nitrogen,Temp_C,Total suspended solids,Fecal Coliform,Soluble Reactive Phosphorus (SRP),Kjeldahl nitrogen
21GAEPD_WQX-RV_14_4571,1990-10-31,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,1990-07-24,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,1990-11-27,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,1990-01-31,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,1990-05-30,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,1990-09-27,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,1990-03-27,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,1991-11-18,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,1991-10-29,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,1991-03-26,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,1991-07-30,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,1991-08-27,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,1991-05-28,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,1991-01-28,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,1991-12-16,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,1991-09-25,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,1992-01-13,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,1992-05-26,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,1992-04-28,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,1992-02-25,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,1992-03-24,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,1992-06-23,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,1993-01-26,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,1993-07-22,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,1993-06-15,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,1993-04-27,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,1993-02-23,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,1993-11-22,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,1993-09-28,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,1993-10-26,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,1993-05-25,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,1993-12-22,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,1993-08-24,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,1993-03-23,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,1994-02-22,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,1994-01-26,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,1996-05-08,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,1996-12-04,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,1996-11-06,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,1996-01-30,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,1996-06-26,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,1996-10-09,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,1996-04-03,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,1996-09-04,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,1996-03-06,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,1996-02-07,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,1996-08-07,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,1996-06-05,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,2005-09-28,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,2005-09-21,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,2005-07-26,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,2005-09-07,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,2005-07-19,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,2005-10-05,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,2005-06-20,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,2005-10-12,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,2005-08-02,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,2005-06-16,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,2005-09-14,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,2005-06-13,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,2005-07-12,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,2005-06-28,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,2005-08-16,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,2006-08-09,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,2006-06-29,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,2006-09-07,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,2006-08-29,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,2006-07-06,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,2006-09-13,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,2006-06-22,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,2006-10-05,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,2006-09-05,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,2006-07-13,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,2006-10-11,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,2006-08-15,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,2006-08-24,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,2006-07-20,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,2006-09-28,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,2006-08-01,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,2006-07-27,,,,,,,,,,,
21GAEPD_WQX-RV_14_4571,2006-09-21,,,,,,,,,,,
