"Date","X_00060_00003","X_00060_00003_cd"
"2005-01-01","2400","A"
"2005-01-02","2380","A"
"2005-01-03","4220","A"
"2005-01-04","2410","A"
"2005-01-05","2430","A"
"2005-01-06","2370","A"
"2005-01-07","2170","A"
"2005-01-08","1170","A"
"2005-01-09","1170","A"
"2005-01-10","2380","A"
"2005-01-11","2370","A"
"2005-01-12","2120","A"
"2005-01-13","749","A"
"2005-01-14","748","A"
"2005-01-15","985","A"
"2005-01-16","1000","A"
"2005-01-17","2600","A"
"2005-01-18","2410","A"
"2005-01-19","2060","A"
"2005-01-20","2100","A"
"2005-01-21","2170","A"
"2005-01-22","1210","A"
"2005-01-23","1670","A"
"2005-01-24","3590","A"
"2005-01-25","2210","A"
"2005-01-26","1970","A"
"2005-01-27","2660","A"
"2005-01-28","1860","A"
"2005-01-29","746","A"
"2005-01-30","1210","A"
"2005-01-31","1780","A"
"2005-02-01","1840","A"
"2005-02-02","2010","A"
"2005-02-03","1630","A"
"2005-02-04","1700","A"
"2005-02-05","1290","A"
"2005-02-06","1090","A"
"2005-02-07","2080","A"
"2005-02-08","2170","A"
"2005-02-09","1790","A"
"2005-02-10","2100","A"
"2005-02-11","2040","A"
"2005-02-12","1080","A"
"2005-02-13","958","A"
"2005-02-14","1780","A"
"2005-02-15","2360","A"
"2005-02-16","1990","A"
"2005-02-17","2340","A"
"2005-02-18","2180","A"
"2005-02-19","1290","A"
"2005-02-20","1010","A"
"2005-02-21","1850","A"
"2005-02-22","676","A"
"2005-02-23","1770","A"
"2005-02-24","2120","A"
"2005-02-25","2260","A"
"2005-02-26","1410","A"
"2005-02-27","1410","A"
"2005-02-28","3120","A"
"2005-03-01","1060","A"
"2005-03-02","3520","A"
"2005-03-03","3260","A"
"2005-03-04","3070","A"
"2005-03-05","1430","A"
"2005-03-06","1030","A"
"2005-03-07","2430","A"
"2005-03-08","1260","A"
"2005-03-09","2690","A"
"2005-03-10","3280","A"
"2005-03-11","3340","A"
"2005-03-12","1510","A"
"2005-03-13","1460","A"
"2005-03-14","3530","A"
"2005-03-15","2490","A"
"2005-03-16","2840","A"
"2005-03-17","2860","A"
"2005-03-18","2890","A"
"2005-03-19","1040","A"
"2005-03-20","1090","A"
"2005-03-21","2730","A"
"2005-03-22","1510","A"
"2005-03-23","3890","A"
"2005-03-24","2980","A"
"2005-03-25","4290","A"
"2005-03-26","1050","A"
"2005-03-27","1070","A"
"2005-03-28","1830","A"
"2005-03-29","3330","A"
"2005-03-30","4960","A"
"2005-03-31","1000","A"
"2005-04-01","658","A"
"2005-04-02","767","A"
"2005-04-03","5500","A"
"2005-04-04","5830","A"
"2005-04-05","5920","A"
"2005-04-06","1420","A"
"2005-04-07","1070","A"
"2005-04-08","2690","A"
"2005-04-09","1270","A"
"2005-04-10","954","A"
"2005-04-11","3200","A"
"2005-04-12","1280","A"
"2005-04-13","3450","A"
"2005-04-14","5200","A"
"2005-04-15","5500","A"
"2005-04-16","3070","A"
"2005-04-17","3120","A"
"2005-04-18","4610","A"
"2005-04-19","4670","A"
"2005-04-20","4010","A"
"2005-04-21","3570","A"
"2005-04-22","3600","A"
"2005-04-23","1020","A"
"2005-04-24","1010","A"
"2005-04-25","2780","A"
"2005-04-26","2140","A"
"2005-04-27","3040","A"
"2005-04-28","3510","A"
"2005-04-29","3630","A"
"2005-04-30","1010","A"
"2005-05-01","1020","A"
"2005-05-02","2310","A"
"2005-05-03","2350","A"
"2005-05-04","2030","A"
"2005-05-05","2020","A"
"2005-05-06","2070","A"
"2005-05-07","1070","A"
"2005-05-08","1080","A"
"2005-05-09","2040","A"
"2005-05-10","2570","A"
"2005-05-11","2780","A"
"2005-05-12","2640","A"
"2005-05-13","2770","A"
"2005-05-14","1130","A"
"2005-05-15","1100","A"
"2005-05-16","2620","A"
"2005-05-17","3060","A"
"2005-05-18","3210","A"
"2005-05-19","3330","A"
"2005-05-20","1850","A"
"2005-05-21","1110","A"
"2005-05-22","1100","A"
"2005-05-23","1780","A"
"2005-05-24","2080","A"
"2005-05-25","1760","A"
"2005-05-26","1540","A"
"2005-05-27","1450","A"
"2005-05-28","1530","A"
"2005-05-29","1110","A"
"2005-05-30","1070","A"
"2005-05-31","1520","A"
"2005-06-01","1620","A"
"2005-06-02","1570","A"
"2005-06-03","1600","A"
"2005-06-04","1300","A"
"2005-06-05","1030","A"
"2005-06-06","1130","A"
"2005-06-07","1560","A"
"2005-06-08","1470","A"
"2005-06-09","1520","A"
"2005-06-10","1530","A"
"2005-06-11","647","A"
"2005-06-12","646","A"
"2005-06-13","652","A"
"2005-06-14","6360","A"
"2005-06-15","6500","A"
"2005-06-16","7140","A"
"2005-06-17","6750","A"
"2005-06-18","3590","A"
"2005-06-19","3640","A"
"2005-06-20","4560","A"
"2005-06-21","4560","A"
"2005-06-22","4580","A"
"2005-06-23","3420","A"
"2005-06-24","4120","A"
"2005-06-25","972","A"
"2005-06-26","1040","A"
"2005-06-27","2910","A"
"2005-06-28","2260","A"
"2005-06-29","1950","A"
"2005-06-30","1880","A"
"2005-07-01","1850","A"
"2005-07-02","808","A"
"2005-07-03","832","A"
"2005-07-04","1020","A"
"2005-07-05","3180","A"
"2005-07-06","613","A"
"2005-07-07","739","A"
"2005-07-08","5860","A"
"2005-07-09","5880","A"
"2005-07-10","595","A"
"2005-07-11","667","A"
"2005-07-12","633","A"
"2005-07-13","5180","A"
"2005-07-14","5570","A"
"2005-07-15","5600","A:e"
"2005-07-16","5440","A"
"2005-07-17","5410","A"
"2005-07-18","4690","A"
"2005-07-19","4760","A"
"2005-07-20","4740","A"
"2005-07-21","4590","A"
"2005-07-22","4710","A"
"2005-07-23","1500","A"
"2005-07-24","1840","A"
"2005-07-25","3790","A"
"2005-07-26","4230","A"
"2005-07-27","3640","A"
"2005-07-28","4050","A"
"2005-07-29","2830","A"
"2005-07-30","995","A"
"2005-07-31","1070","A"
"2005-08-01","2740","A"
"2005-08-02","2200","A"
"2005-08-03","2690","A"
"2005-08-04","2640","A"
"2005-08-05","2670","A"
"2005-08-06","1160","A"
"2005-08-07","1060","A"
"2005-08-08","608","A"
"2005-08-09","5500","A"
"2005-08-10","6930","A"
"2005-08-11","5170","A"
"2005-08-12","4020","A"
"2005-08-13","3620","A"
"2005-08-14","3180","A"
"2005-08-15","5070","A"
"2005-08-16","4820","A"
"2005-08-17","5180","A"
"2005-08-18","4460","A"
"2005-08-19","4870","A"
"2005-08-20","1580","A"
"2005-08-21","1610","A"
"2005-08-22","3100","A"
"2005-08-23","2870","A"
"2005-08-24","3360","A:e"
"2005-08-25","3560","A:e"
"2005-08-26","5280","A"
"2005-08-27","2160","A"
"2005-08-28","1560","A"
"2005-08-29","1330","A"
"2005-08-30","596","A"
"2005-08-31","3150","A"
"2005-09-01","3480","A"
"2005-09-02","2890","A"
"2005-09-03","1280","A"
"2005-09-04","1310","A"
"2005-09-05","1370","A"
"2005-09-06","2680","A"
"2005-09-07","3170","A"
"2005-09-08","2880","A"
"2005-09-09","2800","A"
"2005-09-10","982","A"
"2005-09-11","997","A"
"2005-09-12","2440","A"
"2005-09-13","2360","A"
"2005-09-14","2370","A"
"2005-09-15","2480","A"
"2005-09-16","2430","A"
"2005-09-17","2250","A"
"2005-09-18","1970","A"
"2005-09-19","2750","A"
"2005-09-20","2440","A"
"2005-09-21","2480","A"
"2005-09-22","2080","A"
"2005-09-23","2190","A"
"2005-09-24","1490","A"
"2005-09-25","1310","A"
"2005-09-26","1950","A"
"2005-09-27","1680","A"
"2005-09-28","1370","A"
"2005-09-29","1490","A"
"2005-09-30","1340","A"
"2005-10-01","999","A"
"2005-10-02","1160","A"
"2005-10-03","1230","A"
"2005-10-04","1520","A"
"2005-10-05","1390","A"
"2005-10-06","1040","A"
"2005-10-07","996","A"
"2005-10-08","954","A"
"2005-10-09","934","A"
"2005-10-10","1230","A"
"2005-10-11","1500","A"
"2005-10-12","1390","A"
"2005-10-13","1480","A"
"2005-10-14","1240","A"
"2005-10-15","903","A"
"2005-10-16","898","A"
"2005-10-17","1290","A"
"2005-10-18","1400","A"
"2005-10-19","1470","A"
"2005-10-20","1220","A"
"2005-10-21","1400","A"
"2005-10-22","923","A"
"2005-10-23","978","A"
"2005-10-24","1420","A"
"2005-10-25","1470","A"
"2005-10-26","1500","A"
"2005-10-27","1700","A"
"2005-10-28","1350","A"
"2005-10-29","1060","A"
"2005-10-30","1050","A"
"2005-10-31","1500","A"
"2005-11-01","1380","A"
"2005-11-02","628","A"
"2005-11-03","1430","A"
"2005-11-04","1190","A"
"2005-11-05","905","A"
"2005-11-06","904","A"
"2005-11-07","1430","A"
"2005-11-08","1430","A"
"2005-11-09","1430","A"
"2005-11-10","1510","A"
"2005-11-11","1430","A"
"2005-11-12","1100","A"
"2005-11-13","786","A"
"2005-11-14","1490","A"
"2005-11-15","1430","A"
"2005-11-16","1420","A"
"2005-11-17","1490","A"
"2005-11-18","1400","A"
"2005-11-19","932","A"
"2005-11-20","924","A"
"2005-11-21","1600","A"
"2005-11-22","1490","A"
"2005-11-23","1850","A"
"2005-11-24","1190","A"
"2005-11-25","1120","A"
"2005-11-26","1140","A"
"2005-11-27","1220","A"
"2005-11-28","1610","A"
"2005-11-29","1430","A"
"2005-11-30","1380","A"
"2005-12-01","1690","A"
"2005-12-02","1500","A"
"2005-12-03","988","A"
"2005-12-04","1010","A"
"2005-12-05","2310","A"
"2005-12-06","1860","A"
"2005-12-07","2650","A"
"2005-12-08","2880","A"
"2005-12-09","2590","A"
"2005-12-10","1670","A"
"2005-12-11","1530","A"
"2005-12-12","3010","A"
"2005-12-13","2570","A"
"2005-12-14","2200","A"
"2005-12-15","1610","A"
"2005-12-16","2060","A"
"2005-12-17","1230","A"
"2005-12-18","1230","A"
"2005-12-19","2110","A"
"2005-12-20","2170","A"
"2005-12-21","2140","A"
"2005-12-22","2190","A"
"2005-12-23","1920","A"
"2005-12-24","1810","A"
"2005-12-25","1760","A"
"2005-12-26","2600","A"
"2005-12-27","2800","A"
"2005-12-28","2700","A"
"2005-12-29","3210","A"
"2005-12-30","3470","A"
"2005-12-31","3620","A"
"2006-01-01","3640","A"
"2006-01-02","3570","A"
"2006-01-03","3580","A"
"2006-01-04","3540","A"
"2006-01-05","3770","A"
"2006-01-06","3560","A"
"2006-01-07","2210","A"
"2006-01-08","1820","A"
"2006-01-09","2850","A"
"2006-01-10","2840","A"
"2006-01-11","3170","A"
"2006-01-12","3990","A"
"2006-01-13","3230","A"
"2006-01-14","1130","A"
"2006-01-15","1040","A"
"2006-01-16","1630","A"
"2006-01-17","1710","A"
"2006-01-18","1940","A"
"2006-01-19","2310","A"
"2006-01-20","1780","A"
"2006-01-21","1400","A"
"2006-01-22","1070","A"
"2006-01-23","2110","A"
"2006-01-24","2470","A"
"2006-01-25","2470","A"
"2006-01-26","2460","A"
"2006-01-27","2460","A"
"2006-01-28","1840","A"
"2006-01-29","1870","A"
"2006-01-30","1880","A"
"2006-01-31","2480","A"
"2006-02-01","2660","A"
"2006-02-02","1900","A"
"2006-02-03","1930","A"
"2006-02-04","1750","A"
"2006-02-05","1940","A"
"2006-02-06","2400","A"
"2006-02-07","2690","A"
"2006-02-08","2480","A"
"2006-02-09","2450","A"
"2006-02-10","1790","A"
"2006-02-11","1340","A"
"2006-02-12","1070","A"
"2006-02-13","1870","A"
"2006-02-14","2090","A"
"2006-02-15","1820","A"
"2006-02-16","1580","A"
"2006-02-17","1450","A"
"2006-02-18","1130","A"
"2006-02-19","1290","A"
"2006-02-20","1700","A"
"2006-02-21","2080","A"
"2006-02-22","1770","A"
"2006-02-23","2130","A"
"2006-02-24","1780","A"
"2006-02-25","1280","A"
"2006-02-26","1300","A"
"2006-02-27","1950","A"
"2006-02-28","1420","A"
"2006-03-01","1320","A"
"2006-03-02","974","A"
"2006-03-03","959","A"
"2006-03-04","1030","A"
"2006-03-05","1080","A"
"2006-03-06","1530","A"
"2006-03-07","1810","A"
"2006-03-08","1890","A"
"2006-03-09","2840","A"
"2006-03-10","1590","A"
"2006-03-11","778","A"
"2006-03-12","809","A"
"2006-03-13","1570","A"
"2006-03-14","1550","A"
"2006-03-15","1900","A"
"2006-03-16","2450","A"
"2006-03-17","1600","A"
"2006-03-18","611","A"
"2006-03-19","1110","A"
"2006-03-20","1720","A"
"2006-03-21","2030","A"
"2006-03-22","2670","A"
"2006-03-23","1680","A"
"2006-03-24","1520","A"
"2006-03-25","768","A"
"2006-03-26","1070","A"
"2006-03-27","1990","A"
"2006-03-28","1660","A"
"2006-03-29","1430","A"
"2006-03-30","1730","A"
"2006-03-31","2490","A"
"2006-04-01","1020","A"
"2006-04-02","1160","A"
"2006-04-03","1930","A"
"2006-04-04","1590","A"
"2006-04-05","1640","A"
"2006-04-06","2550","A"
"2006-04-07","1470","A"
"2006-04-08","773","A"
"2006-04-09","786","A"
"2006-04-10","1900","A"
"2006-04-11","1860","A"
"2006-04-12","1980","A"
"2006-04-13","2780","A"
"2006-04-14","2260","A"
"2006-04-15","842","A"
"2006-04-16","736","A"
"2006-04-17","1620","A"
"2006-04-18","2960","A"
"2006-04-19","1660","A"
"2006-04-20","1780","A"
"2006-04-21","1200","A"
"2006-04-22","785","A"
"2006-04-23","629","A"
"2006-04-24","2570","A"
"2006-04-25","2810","A"
"2006-04-26","2650","A"
"2006-04-27","3190","A"
"2006-04-28","3600","A"
"2006-04-29","1210","A"
"2006-04-30","891","A"
"2006-05-01","4000","A"
"2006-05-02","3470","A"
"2006-05-03","3560","A"
"2006-05-04","3400","A"
"2006-05-05","3520","A"
"2006-05-06","2140","A"
"2006-05-07","1970","A"
"2006-05-08","4270","A"
"2006-05-09","2940","A"
"2006-05-10","2640","A"
"2006-05-11","3270","A"
"2006-05-12","2370","A"
"2006-05-13","804","A"
"2006-05-14","786","A"
"2006-05-15","1530","A"
"2006-05-16","1720","A"
"2006-05-17","1820","A"
"2006-05-18","2340","A"
"2006-05-19","2130","A"
"2006-05-20","853","A"
"2006-05-21","1110","A"
"2006-05-22","2300","A"
"2006-05-23","1950","A"
"2006-05-24","1580","A"
"2006-05-25","1680","A"
"2006-05-26","1950","A"
"2006-05-27","1640","A"
"2006-05-28","1600","A"
"2006-05-29","1090","A"
"2006-05-30","1830","A"
"2006-05-31","1720","A"
"2006-06-01","1590","A"
"2006-06-02","1570","A"
"2006-06-03","628","A"
"2006-06-04","628","A"
"2006-06-05","1810","A"
"2006-06-06","1760","A"
"2006-06-07","2290","A"
"2006-06-08","2290","A"
"2006-06-09","3790","A"
"2006-06-10","1360","A"
"2006-06-11","1070","A"
"2006-06-12","2280","A"
"2006-06-13","2240","A"
"2006-06-14","2210","A"
"2006-06-15","2240","A"
"2006-06-16","2250","A"
"2006-06-17","1100","A"
"2006-06-18","853","A"
"2006-06-19","1300","A"
"2006-06-20","1560","A"
"2006-06-21","1050","A"
"2006-06-22","1120","A"
"2006-06-23","2060","A"
"2006-06-24","633","A"
"2006-06-25","637","A"
"2006-06-26","1610","A"
"2006-06-27","1080","A"
"2006-06-28","1390","A"
"2006-06-29","794","A"
"2006-06-30","1010","A"
"2006-07-01","734","A"
"2006-07-02","1090","A"
"2006-07-03","1530","A"
"2006-07-04","726","A"
"2006-07-05","1010","A"
"2006-07-06","996","A"
