"Date","X_00300_00003","X_00300_00003_cd"
"2023-07-27","3.3","A"
"2023-07-28","3.4","A"
"2023-07-29","2.9","A"
"2023-07-30","3.3","A"
"2023-07-31","3.3","A"
"2023-08-01","4.2","A"
"2023-08-02","4.7","A"
"2023-08-03","4.7","A"
"2023-08-04","4.7","A"
"2023-08-05","4.9","A"
"2023-08-06","4.9","A"
"2023-08-07","4.8","A"
"2023-08-08","4.7","A"
"2023-08-09","4.8","A"
"2023-08-10","4.0","A"
"2023-08-11","3.5","A"
"2023-08-12","3.5","A"
"2023-08-13","3.7","A"
"2023-08-14","3.8","A"
"2023-08-15","3.7","A"
"2023-08-16","3.8","A"
"2023-08-17","3.8","A"
"2023-08-18","3.8","A"
"2023-08-19","3.6","A"
"2023-08-20","3.7","A"
"2023-08-21","4.0","A"
"2023-08-22","3.2","A"
"2023-08-23","3.1","A"
"2023-08-24","3.1","A"
"2023-08-25","3.0","A"
"2023-08-26","2.9","A"
"2023-08-27","3.1","A"
"2023-08-28","3.0","A"
"2023-08-29","2.7","A"
"2023-08-30","2.9","A"
"2023-08-31","2.9","A"
"2023-09-01","3.2","A"
"2023-09-02","2.8","A"
"2023-09-03","3.2","A"
"2023-09-04","3.0","A"
"2023-09-05","3.0","A"
"2023-09-06","2.9","A"
"2023-09-07","3.0","A"
"2023-09-08","3.0","A"
"2023-09-09","3.0","A"
"2023-09-10","3.0","A"
"2023-09-11","3.0","A"
"2023-09-12","3.2","A"
"2023-09-13","3.1","A"
"2023-09-14","3.1","A"
"2023-09-15","3.1","A"
"2023-09-16","3.3","A"
"2023-09-17","3.4","A"
"2023-09-18","3.5","A"
"2023-09-19","3.5","A"
"2023-09-20","3.1","A"
"2023-09-21","3.9","A"
"2023-09-22","4.5","A"
"2023-09-23","4.6","A"
"2023-09-24","4.5","A"
"2023-09-25","4.8","A"
"2023-09-26","4.7","A"
"2023-09-27","4.4","A"
"2023-09-28","4.5","A"
"2023-09-29","4.5","A"
"2023-09-30","4.5","A"
"2023-10-01","4.5","A"
"2023-10-02","4.5","A"
"2023-10-03","4.6","A"
"2023-10-04","4.4","A"
"2023-10-05","4.5","A"
"2023-10-06","4.3","A"
"2023-10-07","4.4","A"
"2023-10-08","4.4","A"
"2023-10-09","4.4","A"
"2023-10-10","4.3","A"
"2023-10-11","4.1","A"
"2023-10-12","3.5","A"
"2023-10-13","3.1","A"
"2023-10-14","3.2","A"
"2023-10-15","4.7","A"
"2023-10-16","3.3","A"
"2023-10-17","3.2","A"
"2023-10-18","3.3","A"
"2023-10-19","3.3","A"
"2023-10-20","2.9","A"
"2023-10-21","2.9","A"
"2023-10-22","2.9","A"
"2023-10-23","2.8","A"
"2023-10-24","2.6","A"
"2023-10-25","2.6","A"
"2023-10-26","2.5","A"
"2023-10-27","2.5","A"
"2023-10-28","2.3","A"
"2023-10-29","2.3","A"
"2023-10-30","6.8","A"
"2023-10-31","9.0","A"
"2023-11-01","9.2","A"
"2023-11-02","9.5","A"
"2023-11-03","9.5","A"
"2023-11-04","9.5","A"
"2023-11-05","9.6","A"
"2023-11-06","9.1","A"
"2023-11-07","9.3","A"
"2023-11-08","9.4","A"
"2023-11-09","9.4","A"
"2023-11-10","9.6","A"
"2023-11-11","9.6","A"
"2023-11-12","9.8","A"
"2023-11-13","9.9","A"
"2023-11-14","9.9","A"
"2023-11-15","9.9","A"
"2023-11-16","9.9","A"
"2023-11-17","9.6","A"
"2023-11-18","9.7","A"
"2023-11-19","9.7","A"
"2023-11-20","9.1","A"
"2023-11-21","3.9","A"
"2023-11-22","4.1","A"
"2023-11-23","4.3","A"
"2023-11-24","4.3","A"
"2023-11-25","4.7","A"
"2023-11-26","4.8","A"
"2023-11-27","5.1","A"
"2023-11-28","4.9","A"
"2023-11-29","5.1","A"
"2023-11-30","5.3","A"
"2023-12-01","5.5","A"
"2023-12-02","4.5","A"
"2023-12-03","5.9","A"
"2023-12-04","4.0","A"
"2023-12-05","4.7","A"
"2023-12-06","4.2","A"
"2023-12-07","4.8","A"
"2023-12-08","5.2","A"
"2023-12-09","5.4","A"
"2023-12-10","5.1","A"
"2023-12-11","5.7","A"
"2023-12-12","6.3","A"
"2023-12-13","6.2","A"
"2023-12-14","7.1","A"
"2023-12-15","7.6","A"
"2023-12-16","7.4","A"
"2023-12-17","8.4","A"
"2023-12-18","8.6","A"
"2023-12-19","8.7","A"
"2023-12-20","9.1","A"
"2023-12-21","9.1","A"
"2023-12-22","9.3","A"
"2023-12-23","9.4","A"
"2023-12-24","9.4","A"
"2023-12-25","9.4","A"
"2023-12-26","10.1","A"
"2023-12-27","9.5","A"
"2023-12-28","9.5","A"
"2023-12-29","9.5","A"
"2023-12-30","9.4","A"
"2023-12-31","9.4","A"
"2024-01-01","9.8","A"
"2024-01-02","9.8","A"
"2024-01-03","9.7","A"
"2024-01-04","10.0","A"
"2024-01-05","10.1","A"
"2024-01-06","10.2","A"
"2024-01-07","10.2","A"
"2024-01-08","10.2","A"
"2024-01-09","10.4","A"
"2024-01-10","10.2","A"
"2024-01-11","10.2","A"
"2024-01-12","10.2","A"
"2024-01-13","10.4","A"
"2024-01-14","10.4","A"
"2024-01-15","10.6","A"
"2024-01-16","10.5","A"
"2024-01-17","10.7","A"
"2024-01-18","10.6","A"
"2024-01-19","10.6","A"
"2024-01-20","10.8","A"
"2024-01-21","11.0","A"
"2024-01-22","11.1","A"
"2024-01-23","11.0","A"
"2024-01-24","11.0","A"
"2024-01-25","10.9","A"
"2024-01-26","11.0","A"
"2024-01-27","10.7","A"
"2024-01-28","11.0","A"
"2024-01-29","11.1","A"
"2024-02-01","11.0","A"
"2024-02-02","11.0","A"
"2024-02-03","11.1","A"
"2024-02-04","11.1","A"
"2024-02-05","11.4","A"
"2024-02-06","11.2","A"
"2024-02-07","11.2","A"
"2024-02-08","11.2","A"
"2024-02-09","11.1","A"
"2024-02-10","11.1","A"
"2024-02-11","11.1","A"
"2024-02-12","11.0","A"
"2024-02-13","11.1","A"
"2024-02-14","11.3","A"
"2024-02-15","11.3","A"
"2024-02-16","11.3","A"
"2024-02-17","11.2","A"
"2024-02-18","11.3","A"
"2024-02-19","11.6","A"
"2024-02-20","11.5","A"
"2024-02-21","11.8","A"
"2024-02-22","11.8","A"
"2024-02-23","11.8","A"
"2024-02-24","11.8","A"
"2024-02-25","11.9","A"
"2024-02-26","11.7","A"
"2024-02-27","11.5","A"
"2024-02-28","11.1","A"
"2024-02-29","11.3","A"
"2024-03-01","11.9","A"
"2024-03-02","11.7","A"
"2024-03-03","11.3","A"
"2024-03-04","11.7","A"
"2024-03-05","11.9","A"
"2024-03-06","12.0","A"
"2024-03-07","11.4","A"
"2024-03-08","10.6","A"
"2024-03-09","10.5","A"
"2024-03-10","10.5","A"
"2024-03-11","10.5","A"
"2024-03-12","11.1","A"
"2024-03-13","11.6","A"
"2024-03-14","11.6","A"
"2024-03-15","11.2","A"
"2024-03-16","10.1","A"
"2024-03-17","10.0","A"
"2024-03-18","10.7","A"
"2024-03-19","10.4","A"
"2024-03-20","10.4","A"
"2024-03-21","10.1","A"
"2024-03-22","9.5","A"
"2024-03-23","12.2","A"
"2024-03-24","11.9","A"
"2024-03-25","11.9","A"
"2024-03-26","10.4","A"
"2024-03-27","11.0","A"
"2024-03-28","10.8","A"
"2024-03-29","10.6","A"
"2024-03-30","9.6","A"
"2024-03-31","9.4","A"
"2024-04-01","9.3","A"
"2024-04-02","9.4","A"
"2024-04-03","9.3","A"
"2024-04-04","9.2","A"
"2024-04-05","9.2","A"
"2024-04-06","9.3","A"
"2024-04-07","9.4","A"
"2024-04-08","9.3","A"
"2024-04-09","9.9","A"
"2024-04-10","9.1","A"
"2024-04-11","9.0","A"
"2024-04-12","9.6","A"
"2024-04-13","8.9","A"
"2024-04-14","8.9","A"
"2024-04-15","8.7","A"
"2024-04-16","9.1","A"
"2024-04-17","8.9","A"
"2024-04-18","8.7","A"
"2024-04-19","8.8","A"
"2024-04-20","8.6","A"
"2024-04-21","8.7","A"
"2024-04-22","8.5","A"
"2024-04-23","8.5","A"
"2024-04-24","8.5","A"
"2024-04-25","8.4","A"
"2024-04-26","8.5","A"
"2024-04-27","8.8","A"
"2024-04-28","9.1","A"
"2024-04-29","8.2","A"
"2024-04-30","8.4","A"
"2024-05-01","8.6","A"
"2024-05-02","8.0","A"
"2024-05-03","7.8","A"
"2024-05-04","8.0","A"
"2024-05-05","7.4","A:[4]"
"2024-05-07","7.5","A"
"2024-05-08","7.6","A"
"2024-05-09","7.3","A"
"2024-05-10","7.7","A"
"2024-05-11","8.5","A"
"2024-05-12","8.3","A"
"2024-05-13","7.8","A"
"2024-05-14","7.6","A"
"2024-05-15","7.4","A"
"2024-05-16","7.4","A"
"2024-05-17","7.3","A"
"2024-05-18","7.2","A"
"2024-05-19","7.3","A"
"2024-05-20","7.1","A"
"2024-05-21","7.1","A"
"2024-05-22","7.0","A"
"2024-05-23","7.0","A"
"2024-05-24","7.0","A"
"2024-05-25","6.7","A"
"2024-05-26","6.9","A"
"2024-05-27","6.8","A"
"2024-05-28","7.3","A"
"2024-05-29","7.2","A"
"2024-05-30","7.1","A"
"2024-05-31","6.7","A"
"2024-06-01","6.6","A"
"2024-06-02","6.6","A"
"2024-06-03","6.8","A"
"2024-06-04","6.7","A"
"2024-06-05","6.5","A"
"2024-06-06","6.6","A"
"2024-06-07","6.6","A"
"2024-06-08","6.3","A"
"2024-06-09","6.6","A"
"2024-06-10","9.8","A"
"2024-06-11","11.2","A"
"2024-06-12","10.9","A"
"2024-06-13","11.2","A"
"2024-06-14","11.2","A"
"2024-06-15","11.5","A"
"2024-06-16","11.6","A"
"2024-06-17","11.3","A"
"2024-06-18","11.8","A"
"2024-06-19","11.7","A"
"2024-06-20","8.9","A"
"2024-06-21","6.2","A"
"2024-06-22","5.9","A"
"2024-06-23","5.8","A"
"2024-06-24","6.0","A"
"2024-06-25","5.9","A"
"2024-06-26","5.6","A"
"2024-06-27","5.8","A"
"2024-06-28","5.5","A"
"2024-06-29","5.2","A"
"2024-06-30","5.5","A"
"2024-07-01","5.6","A"
"2024-07-02","5.7","A"
"2024-07-03","5.3","A"
"2024-07-04","5.3","A"
"2024-07-05","5.4","A"
"2024-07-06","5.3","A"
"2024-07-07","5.5","A"
"2024-07-08","5.4","A"
"2024-07-09","5.1","A"
"2024-07-10","5.3","A"
"2024-07-11","5.1","A"
"2024-07-12","6.7","A"
"2024-07-13","4.8","A"
"2024-07-14","5.0","A"
"2024-07-15","5.2","A"
"2024-07-16","4.5","A"
"2024-07-17","4.3","A"
"2024-07-18","4.5","A"
"2024-07-19","4.4","A"
"2024-07-20","4.2","A"
"2024-07-21","4.5","A"
"2024-07-22","4.3","A"
"2024-07-23","4.4","A"
"2024-07-24","4.1","A"
"2024-07-25","4.5","A"
"2024-07-26","4.2","A"
"2024-07-27","4.0","A"
"2024-07-28","4.1","A"
"2024-07-29","4.0","A"
"2024-07-30","4.3","A"
"2024-07-31","3.9","A"
"2024-08-01","5.1","A"
"2024-08-02","6.1","A"
"2024-08-03","5.9","A"
"2024-08-04","6.1","A"
"2024-08-05","6.2","A"
"2024-08-06","5.9","A"
"2024-08-07","5.8","A"
"2024-08-08","5.8","A"
"2024-08-09","5.9","A"
"2024-08-10","5.8","A"
"2024-08-11","5.9","A"
"2024-08-12","6.0","A"
"2024-08-13","5.8","A"
"2024-08-14","4.9","A"
"2024-08-15","4.8","A"
"2024-08-16","5.6","A"
"2024-08-17","6.0","A"
"2024-08-18","6.1","A"
"2024-08-19","6.1","A"
"2024-08-20","5.8","A"
"2024-08-21","5.8","A"
"2024-08-22","5.6","A"
"2024-08-23","5.7","A"
"2024-08-24","5.6","A"
"2024-08-25","5.6","A"
"2024-08-26","5.6","A"
"2024-08-27","5.5","A"
"2024-08-28","5.5","A"
"2024-08-29","5.5","A"
"2024-08-30","5.4","A"
"2024-08-31","5.4","A"
"2024-09-01","5.2","A"
"2024-09-02","5.4","A"
"2024-09-03","5.5","A"
"2024-09-04","5.5","A"
"2024-09-05","5.6","A"
"2024-09-06","5.7","A"
"2024-09-07","5.2","A"
"2024-09-08","5.3","A"
"2024-09-09","5.4","A"
"2024-09-10","5.2","A"
"2024-09-11","4.0","A"
"2024-09-12","4.3","A"
"2024-09-13","4.8","A"
"2024-09-14","4.9","A"
"2024-09-15","5.3","A"
"2024-09-16","5.4","A"
"2024-09-17","4.9","A"
"2024-09-18","4.9","A"
"2024-09-19","5.2","A"
"2024-09-20","5.0","A"
"2024-09-21","5.0","A"
"2024-09-22","4.9","A"
"2024-09-23","4.9","A"
"2024-09-24","4.8","A"
"2024-09-25","4.7","A"
"2024-09-26","4.7","A"
"2024-09-27","4.8","A"
"2024-09-28","4.6","A"
"2024-09-29","4.9","A"
"2024-09-30","4.7","A"
"2024-10-01","4.7","A"
"2024-10-02","4.7","A"
"2024-10-03","4.7","A"
"2024-10-04","4.9","A"
"2024-10-05","4.9","A"
"2024-10-06","4.8","A"
"2024-10-07","4.8","A"
"2024-10-08","4.9","A"
"2024-10-09","4.8","A"
"2024-10-10","4.8","A"
"2024-10-11","5.0","A"
"2024-10-12","4.7","A"
"2024-10-13","4.7","A"
"2024-10-14","4.7","A"
"2024-10-15","4.7","A"
"2024-10-16","3.3","A"
"2024-10-17","4.0","A"
"2024-10-18","4.7","A"
"2024-10-19","4.7","A"
"2024-10-20","4.7","A"
"2024-10-21","4.6","A"
"2024-10-22","4.6","A"
"2024-10-23","4.7","A"
"2024-10-24","4.9","A"
"2024-10-25","4.8","A"
"2024-10-26","4.5","A"
"2024-10-27","5.1","A"
"2024-10-28","5.0","A"
"2024-10-29","4.9","A"
