"Date","X_00060_00003","X_00060_00003_cd"
2005-01-26,1150,"A"
2005-01-27,1320,"A"
2005-01-28,657,"A"
2005-01-29,1630,"A"
2005-01-30,380,"A"
2005-01-31,603,"A"
2005-02-01,573,"A"
2005-02-02,1460,"A"
2005-02-03,1430,"A"
2005-02-04,715,"A"
2005-02-05,356,"A"
2005-02-06,354,"A"
2005-02-07,2370,"A"
2005-02-08,1020,"A"
2005-02-09,976,"A"
2005-02-10,1810,"A"
2005-02-11,1300,"A"
2005-02-12,347,"A"
2005-02-13,349,"A"
2005-02-14,874,"A"
2005-02-15,662,"A"
2005-02-16,607,"A"
2005-02-17,2300,"A"
2005-02-18,2250,"A"
2005-02-19,1570,"A"
2005-02-20,336,"A"
2005-02-21,843,"A"
2005-02-22,350,"A"
2005-02-23,341,"A"
2005-02-24,340,"A"
2005-02-25,448,"A"
2005-02-26,332,"A"
2005-02-27,1730,"A"
2005-02-28,7150,"A"
2005-03-01,7160,"A"
2005-03-02,4110,"A"
2005-03-03,3270,"A"
2005-03-04,2500,"A"
2005-03-05,326,"A"
2005-03-06,321,"A"
2005-03-07,2140,"A"
2005-03-08,1740,"A"
2005-03-09,2900,"A"
2005-03-10,2610,"A"
2005-03-11,2630,"A"
2005-03-12,512,"A"
2005-03-13,321,"A"
2005-03-14,2340,"A"
2005-03-15,1800,"A"
2005-03-16,654,"A"
2005-03-17,1960,"A"
2005-03-18,1770,"A"
2005-03-19,591,"A"
2005-03-20,332,"A"
2005-03-21,2250,"A"
2005-03-22,2970,"A"
2005-03-23,5390,"A"
2005-03-24,3160,"A"
2005-03-25,332,"A"
2005-03-26,524,"A"
2005-03-27,1270,"A"
2005-03-28,544,"A"
2005-03-29,5900,"A"
2005-03-30,6660,"A"
2005-03-31,3840,"A"
2005-04-01,352,"A"
2005-04-02,356,"A"
2005-04-03,352,"A"
2005-04-04,6620,"A"
2005-04-05,6810,"A"
2005-04-06,6830,"A"
2005-04-07,515,"A"
2005-04-08,4410,"A"
2005-04-09,342,"A"
2005-04-10,3950,"A"
2005-04-11,6700,"A e"
2005-04-12,6800,"A e"
2005-04-13,6870,"A"
2005-04-14,6900,"A"
2005-04-15,6910,"A"
2005-04-16,6970,"A"
2005-04-17,530,"A"
2005-04-18,4440,"A"
2005-04-19,3190,"A"
2005-04-20,2310,"A"
2005-04-21,1200,"A"
2005-04-22,2610,"A"
2005-04-23,371,"A"
2005-04-24,378,"A"
2005-04-25,2340,"A"
2005-04-26,2630,"A"
2005-04-27,5350,"A"
2005-04-28,2640,"A"
2005-04-29,2580,"A"
2005-04-30,373,"A"
2005-05-01,373,"A"
2005-05-02,4370,"A"
2005-05-03,6970,"A"
2005-05-04,1860,"A"
2005-05-05,1430,"A"
2005-05-06,953,"A"
2005-05-07,378,"A"
2005-05-08,378,"A"
2005-05-09,2000,"A"
2005-05-10,2050,"A"
2005-05-11,1790,"A"
2005-05-12,1980,"A"
2005-05-13,1850,"A"
2005-05-14,379,"A"
2005-05-15,380,"A"
2005-05-16,2020,"A"
2005-05-17,2630,"A"
2005-05-18,2200,"A"
2005-05-19,2490,"A"
2005-05-20,1930,"A"
2005-05-21,372,"A"
2005-05-22,366,"A"
2005-05-23,1650,"A"
2005-05-24,2340,"A"
2005-05-25,1780,"A"
2005-05-26,1500,"A"
2005-05-27,1340,"A"
2005-05-28,1380,"A"
2005-05-29,643,"A"
2005-05-30,1040,"A"
2005-05-31,1490,"A"
2005-06-01,1000,"A"
2005-06-02,2650,"A"
2005-06-03,5110,"A"
2005-06-04,1490,"A"
2005-06-05,929,"A"
2005-06-06,1210,"A"
2005-06-07,688,"A"
2005-06-08,5460,"A"
2005-06-09,7020,"A"
2005-06-10,4820,"A"
2005-06-11,535,"A"
2005-06-12,354,"A"
2005-06-13,1660,"A"
2005-06-14,6850,"A"
2005-06-15,5270,"A"
2005-06-16,1230,"A"
2005-06-17,656,"A"
2005-06-18,354,"A"
2005-06-19,354,"A"
2005-06-20,1360,"A"
2005-06-21,771,"A"
2005-06-22,2600,"A"
2005-06-23,2900,"A"
2005-06-24,1230,"A"
2005-06-25,357,"A"
2005-06-26,361,"A"
2005-06-27,1500,"A"
2005-06-28,3200,"A"
2005-06-29,3420,"A"
2005-06-30,359,"A"
2005-07-01,354,"A"
2005-07-02,354,"A"
