Date,X_00060_00003,X_00060_00003_cd
2011-01-01,523,A
2011-01-02,516,A
2011-01-03,2090,A
2011-01-04,1910,A
2011-01-05,2090,A
2011-01-06,3580,A
2011-01-07,3520,A
2011-01-08,828,A
2011-01-09,507,A
2011-01-10,504,A
2011-01-11,482,A
2011-01-12,437,A
2011-01-13,430,A
2011-01-14,430,A
2011-01-15,430,A
2011-01-16,430,A
2011-01-17,430,A
2011-01-18,430,A
2011-01-19,430,A
2011-01-20,422,A
2011-01-21,417,A
2011-01-22,417,A
2011-01-23,417,A
2011-01-24,416,A
2011-01-25,413,A
2011-01-26,417,A
2011-01-27,438,A
2011-01-28,483,A
2011-01-29,478,A
2011-01-30,478,A
2011-01-31,473,A
2011-02-01,468,A
2011-02-02,467,A
2011-02-03,1930,A
2011-02-04,3320,A
2011-02-05,2910,A
2011-02-06,4460,A
2011-02-07,4460,A
2011-02-08,2450,A
2011-02-09,2590,A
2011-02-10,2100,A
2011-02-11,1440,A
2011-02-12,446,A
2011-02-13,442,A
2011-02-14,2260,A
2011-02-15,1710,A
2011-02-16,1220,A
2011-02-17,920,A
2011-02-18,944,A
2011-02-19,442,A
2011-02-20,442,A
2011-02-21,1420,A
2011-02-22,1760,A
2011-02-23,894,A
2011-02-24,1000,A
2011-02-25,423,A
2011-02-26,417,A
2011-02-27,416,A
2011-02-28,412,A
2011-03-01,404,A
2011-03-02,717,A
2011-03-03,391,A
2011-03-04,391,A
2011-03-05,391,A
2011-03-06,396,A
2011-03-07,390,A
2011-03-08,380,A
2011-03-09,423,A
2011-03-10,394,A
2011-03-11,389,A
2011-03-12,379,A
2011-03-13,378,A
2011-03-14,832,A
2011-03-15,2710,A
2011-03-16,2370,A
2011-03-17,2840,A
2011-03-18,2830,A
2011-03-19,375,A
2011-03-20,373,A
2011-03-21,2260,A
2011-03-22,1920,A
2011-03-23,2400,A
2011-03-24,1620,A
2011-03-25,3360,A
2011-03-26,505,A
2011-03-27,392,A
2011-03-28,485,A
2011-03-29,391,A
2011-03-30,395,A
2011-03-31,3960,A
2011-04-01,4110,A
2011-04-02,2650,A
2011-04-03,2850,A
2011-04-04,3980,A
2011-04-05,611,A
2011-04-06,2140,A
2011-04-07,3880,A
2011-04-08,3900,A
2011-04-09,828,A
2011-04-10,709,A
2011-04-11,2740,A
2011-04-12,1160,A
2011-04-13,1030,A
2011-04-14,1030,A
2011-04-15,1190,A
2011-04-16,442,A
2011-04-17,442,A
2011-04-18,3170,A
2011-04-19,4060,A
2011-04-20,4060,A
2011-04-21,4100,A
2011-04-22,4070,A
2011-04-23,538,A
2011-04-24,430,A
2011-04-25,1480,A
