"Date","X_00300_00003","X_00300_00003_cd"
2005-01-27,10.9,"A"
2005-01-28,11,"A"
2005-01-29,11.1,"A"
2005-01-30,11,"A"
2005-01-31,11.2,"A"
2005-02-01,11.1,"A"
2005-02-02,11.1,"A"
2005-02-03,11.1,"A"
2005-02-04,11.2,"A"
2005-02-05,11.1,"A"
2005-02-06,11.1,"A"
2005-02-07,11.1,"A"
2005-02-08,11.1,"A"
2005-02-09,10.9,"A"
2005-02-10,11.3,"A"
2005-02-11,11.3,"A"
2005-02-12,11.1,"A"
2005-02-13,11,"A"
2005-02-14,11.2,"A"
2005-02-15,11.2,"A"
2005-02-16,11,"A"
2005-02-17,11.1,"A"
2005-02-18,11.2,"A"
2005-02-19,11.2,"A"
2005-02-20,11,"A"
2005-02-21,10.9,"A"
2005-02-24,10.5,"A"
2005-02-25,11.1,"A"
2005-02-26,11,"A"
2005-02-27,11,"A"
2005-02-28,10.9,"A"
2005-03-01,11,"A"
2005-03-02,10.9,"A"
2005-03-03,10.9,"A"
2005-03-04,10.9,"A"
2005-03-05,10.7,"A"
2005-03-06,10.8,"A"
2005-03-18,11.8,"A"
2005-03-19,12,"A"
2005-03-20,12.2,"A"
2005-03-21,12,"A"
2005-03-22,11.8,"A"
2005-03-23,11.6,"A"
2005-03-24,12,"A"
2005-03-25,11.9,"A"
2005-03-26,12,"A"
2005-03-27,11.7,"A"
2005-03-28,11.9,"A"
2005-03-29,12.4,"A"
2005-03-31,11.1,"A"
2005-04-01,10.9,"A"
2005-04-02,11.1,"A"
2005-04-03,11.4,"A"
2005-04-04,10.9,"A"
2005-04-05,10.9,"A"
2005-04-06,10.8,"A"
2005-04-07,10.8,"A"
2005-04-08,10.6,"A"
2005-04-09,11,"A"
2005-04-10,10.4,"A"
2005-04-13,10.3,"A"
2005-04-14,10.3,"A"
2005-04-15,10.3,"A"
2005-04-16,10.2,"A"
2005-04-17,11,"A"
2005-04-18,9.8,"A"
2005-04-19,10.1,"A"
2005-04-20,10.6,"A"
2005-04-21,10.3,"A"
2005-04-22,9.9,"A"
2005-04-23,10.7,"A"
2005-04-24,11.1,"A"
2005-04-25,10.4,"A"
2005-04-26,9.7,"A"
2005-04-27,9.5,"A"
2005-04-28,10.1,"A"
2005-04-29,9.9,"A"
2005-04-30,9.3,"A"
2005-05-01,10.4,"A"
2005-05-03,9.2,"A"
2005-05-04,10.1,"A"
2005-05-05,9.6,"A"
2005-05-06,9.4,"A"
2005-05-07,9.7,"A"
2005-05-08,9.5,"A"
2005-05-09,9.3,"A"
2005-05-10,8.6,"A"
2005-05-11,8.8,"A"
2005-05-12,8.9,"A"
2005-05-13,8.3,"A"
2005-05-14,8.8,"A"
2005-05-15,8.2,"A"
2005-05-16,8,"A"
2005-05-17,8.2,"A"
2005-05-18,8.1,"A"
2005-05-20,7.8,"A"
2005-05-21,8.4,"A"
2005-05-22,8.5,"A"
2005-05-23,7.9,"A"
2005-05-24,7.6,"A"
