Date,Depth_m,Temp_C,DO_mgL
2000-04-27,0.4,16.29,10.11
2000-04-27,1.0,16.18,10.0
2000-04-27,2.0,15.96,10.06
2000-04-27,3.0,15.76,9.85
2000-04-27,4.0,15.71,9.58
2000-04-27,5.0,15.66,9.32
2000-04-27,6.0,15.61,8.93
2000-04-27,7.0,15.56,8.68
2000-04-27,8.0,15.41,8.28
2000-04-27,9.0,15.2,7.59
2000-04-27,10.0,14.86,7.63
2000-04-27,11.0,14.78,7.3
2000-04-27,12.0,14.56,7.08
2000-04-27,13.0,14.38,7.07
2000-04-27,14.0,14.2,6.81
2000-04-27,15.1,14.02,6.82
2000-04-27,15.9,13.87,6.48
2000-04-27,17.0,13.68,6.55
2000-04-27,18.0,13.6,6.47
2000-04-27,18.9,13.39,6.49
2000-04-27,19.8,13.22,6.23
2000-04-27,20.0,13.17,6.29
2000-04-27,22.0,12.46,6.17
2000-04-27,24.0,11.85,5.98
2000-04-27,26.0,11.51,5.95
2000-04-27,28.0,11.16,5.76
2000-04-27,30.0,10.98,5.86
2000-04-27,35.0,10.57,5.38
2000-05-31,0.4,25.59,9.31
2000-05-31,1.0,25.31,9.31
2000-05-31,2.0,25.07,9.36
2000-05-31,3.0,24.64,9.31
2000-05-31,4.0,24.47,9.23
2000-05-31,5.0,24.36,9.12
2000-05-31,6.0,20.53,8.54
2000-05-31,7.0,19.63,7.73
2000-05-31,8.0,18.38,6.83
2000-05-31,9.0,16.68,5.8
2000-05-31,10.0,16.36,5.08
2000-05-31,11.0,15.93,4.98
2000-05-31,12.0,15.64,4.84
2000-05-31,13.0,15.49,5.0
2000-05-31,14.0,15.31,4.95
2000-05-31,15.0,15.21,4.67
2000-05-31,16.0,15.07,4.75
2000-05-31,17.0,14.89,4.67
2000-05-31,18.0,14.76,4.71
2000-05-31,19.0,14.51,4.61
2000-05-31,20.0,14.42,4.5
2000-05-31,21.0,14.16,4.12
2000-05-31,23.0,13.89,3.79
2000-05-31,25.0,13.64,3.51
2000-05-31,27.0,13.48,3.33
2000-05-31,29.0,13.18,3.06
2000-05-31,31.0,12.88,2.68
2000-05-31,33.0,12.27,2.69
2000-05-31,35.0,11.88,2.41
2000-05-31,37.0,11.48,1.85
2000-05-31,39.0,11.27,0.75
2000-06-22,0.1,28.79,8.27
2000-06-22,1.0,28.75,8.25
2000-06-22,2.0,28.7,8.21
2000-06-22,3.0,27.26,9.51
2000-06-22,4.0,26.07,9.15
2000-06-22,5.0,24.58,6.41
2000-06-22,6.0,23.41,4.53
2000-06-22,7.0,22.23,2.88
2000-06-22,8.0,20.69,2.08
2000-06-22,9.0,18.92,2.08
2000-06-22,10.0,17.49,2.75
2000-06-22,11.0,16.7,2.42
2000-06-22,12.0,16.29,2.59
2000-06-22,13.0,15.98,2.12
2000-06-22,14.0,15.89,1.63
2000-06-22,15.0,15.76,1.72
2000-06-22,16.0,15.63,2.94
2000-06-22,17.0,15.51,2.51
2000-06-22,18.0,15.39,3.86
2000-06-22,19.0,15.31,2.24
2000-06-22,20.0,15.23,2.49
2000-06-22,22.0,15.09,2.06
2000-06-22,24.0,14.9,1.63
2000-06-22,26.0,14.68,1.45
2000-06-22,28.0,14.44,1.02
2000-06-22,30.0,14.2,1.13
2000-06-22,35.0,13.34,0.79
2000-06-22,38.7,12.45,0.14
2000-07-13,0.2,29.9,7.78
2000-07-13,1.0,29.62,7.82
2000-07-13,2.0,29.48,7.8
2000-07-13,3.0,29.44,7.82
2000-07-13,4.0,29.36,7.7
2000-07-13,5.0,29.16,7.47
2000-07-13,6.0,27.62,5.48
2000-07-13,7.0,25.86,3.29
2000-07-13,9.0,22.95,0.4
2000-07-13,10.0,21.34,0.31
2000-07-13,11.0,20.34,0.45
2000-07-13,12.0,19.25,0.48
2000-07-13,13.0,18.46,0.12
2000-07-13,14.0,17.75,0.17
2000-07-13,15.0,17.01,0.23
2000-07-13,16.0,16.65,0.4
2000-07-13,17.0,16.39,0.47
2000-07-13,18.0,16.08,0.43
2000-07-13,19.0,15.86,0.71
2000-07-13,20.0,15.73,0.54
2000-07-13,22.0,15.5,0.19
2000-07-13,24.0,15.39,0.0
2000-07-13,26.0,15.28,0.0
2000-07-13,28.0,15.18,0.48
2000-07-13,30.0,14.94,0.36
2000-07-13,35.0,14.26,0.87
2000-07-13,38.7,13.55,0.15
2000-08-23,0.2,28.5,7.29
2000-08-23,1.0,28.26,7.28
2000-08-23,2.0,28.14,7.12
2000-08-23,3.0,28.09,7.14
2000-08-23,4.0,28.06,7.04
2000-08-23,5.0,28.01,6.72
2000-08-23,6.0,27.97,6.73
2000-08-23,7.0,27.92,6.49
2000-08-23,8.0,27.86,6.47
2000-08-23,9.0,27.54,4.53
2000-08-23,10.0,26.1,0.29
2000-08-23,11.0,25.23,0.15
2000-08-23,12.0,24.38,0.1
2000-08-23,13.0,23.58,0.15
2000-08-23,14.0,22.92,0.09
2000-08-23,15.0,22.47,0.08
2000-08-23,16.0,22.1,0.16
2000-08-23,17.0,21.43,0.19
2000-08-23,19.0,20.2,0.08
2000-08-23,20.0,19.85,0.09
2000-08-23,22.0,18.84,0.23
2000-08-23,24.0,17.93,0.21
2000-08-23,26.0,17.22,0.13
2000-08-23,28.0,16.77,0.16
2000-08-23,30.0,16.15,0.19
2000-08-23,35.0,15.42,0.07
2000-08-23,37.6,14.93,0.06
2000-09-20,0.2,25.46,5.92
2000-09-20,1.0,25.15,5.79
2000-09-20,2.0,25.03,5.75
2000-09-20,3.0,24.95,5.76
2000-09-20,4.0,24.9,5.57
2000-09-20,5.0,24.87,5.29
2000-09-20,6.0,24.68,4.32
2000-09-20,7.0,24.66,4.26
2000-09-20,8.0,24.64,4.31
