Date,Depth_m,Temp_C,DO_mgL
2000-04-20,0.1,16.14,11.3
2000-04-20,1.0,15.91,11.3
2000-04-20,2.0,15.44,11.39
2000-04-20,3.0,14.77,11.54
2000-04-20,4.0,14.4,11.67
2000-04-20,5.0,14.28,11.79
2000-04-20,6.0,14.13,11.63
2000-04-20,7.0,14.04,11.59
2000-04-20,8.0,13.71,11.73
2000-04-20,9.0,13.38,11.72
2000-04-20,10.0,13.18,11.7
2000-04-20,11.0,12.8,11.7
2000-04-20,12.0,12.53,11.67
2000-04-20,13.0,12.48,11.64
2000-04-20,14.0,12.22,11.65
2000-04-20,15.0,11.81,11.84
2000-04-20,15.9,11.22,11.9
2000-04-20,16.0,11.23,11.77
2000-04-20,17.0,10.63,11.82
2000-04-20,18.0,10.29,11.7
2000-04-20,18.9,9.83,11.71
2000-04-20,20.0,9.45,11.6
2000-04-20,22.0,8.78,11.6
2000-04-20,24.0,8.41,11.46
2000-04-20,26.0,8.22,11.27
2000-04-20,28.0,8.05,11.1
2000-04-20,30.0,7.88,10.78
2000-04-20,35.0,7.65,10.35
2000-04-20,40.0,7.56,9.99
2000-04-20,45.0,7.52,9.66
2000-05-17,0.1,21.96,8.94
2000-05-17,1.0,21.93,8.85
2000-05-17,2.0,21.84,8.84
2000-05-17,3.0,21.79,8.8
2000-05-17,4.0,21.75,8.84
2000-05-17,5.0,21.46,8.88
2000-05-17,6.0,19.31,9.61
2000-05-17,7.0,16.99,10.13
2000-05-17,8.0,16.39,10.33
2000-05-17,9.0,15.43,10.35
2000-05-17,10.0,14.71,10.29
2000-05-17,11.0,14.15,10.04
2000-05-17,12.0,13.27,9.7
2000-05-17,13.0,12.87,9.48
2000-05-17,14.0,12.2,9.0
2000-05-17,15.0,11.64,8.58
2000-05-17,16.0,11.24,8.37
2000-05-17,17.0,10.74,8.03
2000-05-17,18.0,10.4,7.86
2000-05-17,19.0,9.91,7.78
2000-05-17,20.0,9.58,7.45
2000-05-17,22.0,9.03,7.05
2000-05-17,24.0,8.56,6.7
2000-05-17,26.0,8.28,6.65
2000-05-17,28.0,8.16,6.48
2000-05-17,30.0,8.03,6.98
2000-05-17,35.0,7.84,6.8
2000-05-17,40.0,7.8,6.47
2000-05-17,45.0,7.8,5.49
2000-06-14,0.1,27.93,7.95
2000-06-14,1.0,27.53,7.96
2000-06-14,2.0,26.78,8.39
2000-06-14,3.0,25.99,8.57
2000-06-14,4.0,25.19,9.03
2000-06-14,5.0,24.5,9.23
2000-06-14,6.0,24.04,9.32
2000-06-14,7.0,22.01,9.45
2000-06-14,8.0,20.44,9.83
2000-06-14,9.0,17.03,10.49
2000-06-14,10.0,16.08,10.25
2000-06-14,11.0,15.12,10.1
2000-06-14,12.0,14.6,9.82
2000-06-14,13.0,13.95,9.46
2000-06-14,14.0,13.46,9.13
2000-06-14,15.0,12.68,8.3
2000-06-14,16.0,12.19,7.93
2000-06-14,17.0,11.68,7.6
2000-06-14,18.0,11.18,7.32
2000-06-14,19.0,10.55,6.63
2000-06-14,20.0,10.1,6.27
2000-06-14,22.0,9.39,6.28
2000-06-14,24.0,9.06,6.19
2000-06-14,26.0,8.65,6.05
2000-06-14,28.0,8.38,5.62
2000-06-14,30.0,8.21,5.14
2000-06-14,35.0,8.0,4.51
2000-06-14,40.0,7.98,4.44
2000-06-14,44.7,7.98,4.36
2000-07-11,0.1,28.93,7.65
2000-07-11,1.0,28.85,7.57
2000-07-11,2.0,28.79,7.53
2000-07-11,3.0,28.69,7.58
2000-07-11,4.0,27.99,7.82
2000-07-11,5.0,27.47,7.98
2000-07-11,6.0,25.98,8.44
2000-07-11,7.0,24.33,8.79
2000-07-11,8.0,22.04,8.7
2000-07-11,9.0,19.81,9.28
2000-07-11,10.0,17.75,8.82
2000-07-11,11.1,16.71,8.74
2000-07-11,12.0,15.86,8.75
2000-07-11,13.0,14.95,8.65
2000-07-11,14.0,14.19,7.74
2000-07-11,15.0,13.58,7.38
2000-07-11,16.0,12.96,6.95
2000-07-11,16.9,12.39,6.28
2000-07-11,18.0,11.91,5.95
2000-07-11,19.1,11.38,5.58
2000-07-11,20.0,10.87,5.47
2000-07-11,22.0,10.21,5.15
2000-07-11,24.0,9.65,4.5
2000-07-11,26.0,9.21,4.31
2000-07-11,28.0,8.78,4.79
2000-07-11,30.1,8.5,3.59
2000-07-11,35.0,8.19,3.85
2000-07-11,40.0,8.14,2.38
2000-07-11,44.1,8.14,3.23
2000-08-16,0.1,28.44,7.66
2000-08-16,1.0,28.43,7.65
2000-08-16,2.0,28.43,7.67
2000-08-16,3.0,28.4,7.64
2000-08-16,4.0,28.39,7.64
2000-08-16,5.0,28.38,7.9
2000-08-16,6.0,28.21,7.68
2000-08-16,7.0,28.07,7.63
2000-08-16,8.0,27.04,7.47
2000-08-16,9.0,25.12,7.53
2000-08-16,10.0,22.21,7.72
2000-08-16,11.0,19.8,7.63
2000-08-16,12.0,17.46,7.04
2000-08-16,13.0,16.34,6.79
2000-08-16,14.0,15.56,6.41
2000-08-16,15.0,14.84,5.73
2000-08-16,16.0,13.86,4.78
2000-08-16,17.0,13.22,4.72
2000-08-16,18.0,12.67,4.28
2000-08-16,19.0,12.09,3.64
2000-08-16,20.0,11.6,3.99
2000-08-16,22.0,10.78,3.16
2000-08-16,24.0,10.25,2.9
2000-08-16,25.9,9.71,2.52
2000-08-16,28.0,9.33,2.11
2000-08-16,30.0,8.91,1.49
2000-08-16,35.0,8.48,0.39
2000-08-16,40.0,8.44,0.16
2000-08-16,43.8,8.45,0.69
2000-09-13,0.1,25.8,8.08
2000-09-13,1.0,25.79,7.96
