lake,station,date,month,year,n_points,n_complete,z_max_m,peak_dTdz_Cm,T_surface_C,T_bottom_C,DO_surface_mgL,DO_bottom_mgL,DO_min_mgL,file
Allatoona,LK_14_4494,2000-04-27,4,2000,28,28,35.00,0.35,16.29,10.57,10.11,5.38,5.38,Allatoona/allatoona_forebay_2000-04-27.png
Allatoona,LK_14_4494,2000-05-31,5,2000,31,31,39.00,3.83,25.59,11.27,9.31,0.75,0.75,Allatoona/allatoona_forebay_2000-05-31.png
Allatoona,LK_14_4494,2000-06-22,6,2000,28,28,38.70,1.77,28.79,12.45,8.27,0.14,0.14,Allatoona/allatoona_forebay_2000-06-22.png
Allatoona,LK_14_4494,2000-07-13,7,2000,27,27,38.70,1.76,29.90,13.55,7.78,0.15,0.00,Allatoona/allatoona_forebay_2000-07-13.png
Allatoona,LK_14_4494,2000-08-23,8,2000,27,27,37.60,1.44,28.50,14.93,7.29,0.06,0.06,Allatoona/allatoona_forebay_2000-08-23.png
Allatoona,LK_14_4494,2000-09-20,9,2000,27,27,34.90,0.62,25.46,16.91,5.92,0.36,0.08,Allatoona/allatoona_forebay_2000-09-20.png
Allatoona,LK_14_4494,2000-10-17,10,2000,28,28,35.00,0.49,20.86,17.78,6.70,0.44,0.44,Allatoona/allatoona_forebay_2000-10-17.png
Allatoona,LK_14_4494,2001-04-26,4,2001,27,27,40.00,1.48,18.20,10.45,9.68,5.75,5.75,Allatoona/allatoona_forebay_2001-04-26.png
Allatoona,LK_14_4494,2005-04-19,4,2005,27,27,35.00,1.14,20.55,11.86,11.34,7.25,7.25,Allatoona/allatoona_forebay_2005-04-19.png
Allatoona,LK_14_4494,2005-05-11,5,2005,28,28,39.80,2.58,24.11,12.88,10.22,0.59,0.59,Allatoona/allatoona_forebay_2005-05-11.png
Allatoona,LK_14_4494,2005-06-15,6,2005,28,28,38.70,1.22,28.46,15.68,8.87,0.92,0.92,Allatoona/allatoona_forebay_2005-06-15.png
Allatoona,LK_14_4494,2005-07-20,7,2005,28,28,40.00,1.25,30.14,20.30,8.96,0.09,0.09,Allatoona/allatoona_forebay_2005-07-20.png
Allatoona,LK_14_4494,2005-08-17,8,2005,28,28,38.90,0.93,31.08,22.43,8.33,0.16,0.16,Allatoona/allatoona_forebay_2005-08-17.png
Allatoona,LK_14_4494,2005-09-14,9,2005,28,28,39.40,0.57,27.52,22.40,7.01,0.06,0.05,Allatoona/allatoona_forebay_2005-09-14.png
Allatoona,LK_14_4494,2005-10-12,10,2005,27,27,35.00,0.18,25.02,23.48,4.64,0.26,0.26,Allatoona/allatoona_forebay_2005-10-12.png
Allatoona,LK_14_4494,2006-04-26,4,2006,27,27,35.00,1.92,22.28,9.42,9.47,5.62,5.62,Allatoona/allatoona_forebay_2006-04-26.png
Allatoona,LK_14_4494,2006-05-24,5,2006,28,28,39.50,1.55,25.01,10.22,9.23,1.54,1.54,Allatoona/allatoona_forebay_2006-05-24.png
Allatoona,LK_14_4494,2006-06-22,6,2006,28,28,38.40,1.80,30.24,11.51,8.91,0.57,0.46,Allatoona/allatoona_forebay_2006-06-22.png
Allatoona,LK_14_4494,2006-07-26,7,2006,27,27,35.00,1.28,30.23,14.05,8.26,0.25,0.25,Allatoona/allatoona_forebay_2006-07-26.png
Allatoona,LK_14_4494,2006-08-31,8,2006,26,26,30.10,0.92,29.48,18.33,7.44,0.29,0.28,Allatoona/allatoona_forebay_2006-08-31.png
Allatoona,LK_14_4494,2006-09-28,9,2006,27,27,34.90,0.59,24.97,17.25,5.16,0.24,0.24,Allatoona/allatoona_forebay_2006-09-28.png
Allatoona,LK_14_4494,2006-10-25,10,2006,27,27,35.00,0.21,19.77,17.80,5.57,1.36,1.36,Allatoona/allatoona_forebay_2006-10-25.png
Allatoona,LK_14_4494,2007-04-12,4,2007,28,28,39.00,1.11,14.51,7.16,9.55,4.04,4.04,Allatoona/allatoona_forebay_2007-04-12.png
Allatoona,LK_14_4494,2007-05-17,5,2007,28,28,37.70,2.13,23.89,8.02,9.10,4.17,4.17,Allatoona/allatoona_forebay_2007-05-17.png
Allatoona,LK_14_4494,2007-06-12,6,2007,28,28,37.80,2.15,28.82,8.45,8.10,3.56,3.06,Allatoona/allatoona_forebay_2007-06-12.png
Allatoona,LK_14_4494,2007-07-25,7,2007,27,27,35.00,1.97,29.00,9.70,8.08,0.28,0.16,Allatoona/allatoona_forebay_2007-07-25.png
Allatoona,LK_14_4494,2007-08-21,8,2007,29,29,36.00,1.24,31.60,10.81,7.69,0.03,0.03,Allatoona/allatoona_forebay_2007-08-21.png
Allatoona,LK_14_4494,2007-09-19,9,2007,27,27,35.00,0.80,27.34,18.73,5.83,0.21,0.20,Allatoona/allatoona_forebay_2007-09-19.png
Allatoona,LK_14_4494,2007-10-23,10,2007,27,27,33.10,0.46,22.79,18.32,4.36,0.08,0.08,Allatoona/allatoona_forebay_2007-10-23.png
Allatoona,LK_14_4494,2008-04-22,4,2008,28,28,38.40,1.63,18.89,8.73,9.97,0.60,0.60,Allatoona/allatoona_forebay_2008-04-22.png
Allatoona,LK_14_4494,2008-05-15,5,2008,28,28,38.40,1.96,20.53,9.59,9.53,0.37,0.37,Allatoona/allatoona_forebay_2008-05-15.png
Allatoona,LK_14_4494,2008-06-12,6,2008,28,28,36.70,2.87,29.17,10.63,8.00,0.18,0.18,Allatoona/allatoona_forebay_2008-06-12.png
Allatoona,LK_14_4494,2008-07-31,7,2008,28,28,38.90,1.27,29.30,11.71,8.29,0.15,0.15,Allatoona/allatoona_forebay_2008-07-31.png
Allatoona,LK_14_4494,2008-08-14,8,2008,28,28,39.00,2.09,26.43,11.96,7.05,0.06,0.06,Allatoona/allatoona_forebay_2008-08-14.png
Allatoona,LK_14_4494,2008-09-29,9,2008,28,28,38.60,0.77,24.47,13.59,6.14,0.15,0.15,Allatoona/allatoona_forebay_2008-09-29.png
Allatoona,LK_14_4494,2008-10-16,10,2008,28,28,37.40,0.96,22.92,13.86,6.59,0.20,0.20,Allatoona/allatoona_forebay_2008-10-16.png
Allatoona,LK_14_4494,2009-04-29,4,2009,28,28,37.60,2.70,22.77,10.05,9.94,1.30,1.30,Allatoona/allatoona_forebay_2009-04-29.png
Allatoona,LK_14_4494,2009-05-21,5,2009,27,27,31.80,4.18,21.76,13.27,8.47,0.51,0.51,Allatoona/allatoona_forebay_2009-05-21.png
Allatoona,LK_14_4494,2009-06-02,6,2009,28,28,37.20,2.16,26.65,13.39,8.68,0.35,0.35,Allatoona/allatoona_forebay_2009-06-02.png
Allatoona,LK_14_4494,2009-07-20,7,2009,29,29,40.40,2.04,27.37,13.17,7.69,0.05,0.05,Allatoona/allatoona_forebay_2009-07-20.png
Allatoona,LK_14_4494,2009-08-04,8,2009,28,28,39.40,1.40,28.43,13.85,8.10,0.06,0.06,Allatoona/allatoona_forebay_2009-08-04.png
Allatoona,LK_14_4494,2009-09-08,9,2009,28,28,39.40,0.95,26.62,14.23,7.16,0.24,0.22,Allatoona/allatoona_forebay_2009-09-08.png
Allatoona,LK_14_4494,2009-10-06,10,2009,28,28,37.30,1.55,22.00,17.61,5.22,0.26,0.26,Allatoona/allatoona_forebay_2009-10-06.png
Allatoona,LK_14_4494,2010-04-07,4,2010,28,28,39.00,4.12,19.89,7.01,10.18,3.39,3.39,Allatoona/allatoona_forebay_2010-04-07.png
Allatoona,LK_14_4494,2010-05-25,5,2010,28,28,39.80,3.55,25.17,10.87,8.94,2.07,2.07,Allatoona/allatoona_forebay_2010-05-25.png
Allatoona,LK_14_4494,2010-06-23,6,2010,27,27,32.30,1.73,30.83,16.06,7.99,0.24,0.24,Allatoona/allatoona_forebay_2010-06-23.png
Allatoona,LK_14_4494,2010-07-06,7,2010,28,28,40.00,2.16,29.68,13.16,8.14,0.18,0.16,Allatoona/allatoona_forebay_2010-07-06.png
Allatoona,LK_14_4494,2010-08-10,8,2010,28,28,39.70,1.45,31.94,15.08,7.58,0.16,0.14,Allatoona/allatoona_forebay_2010-08-10.png
Allatoona,LK_14_4494,2010-09-29,9,2010,28,28,38.00,0.53,26.53,17.37,3.88,0.05,0.05,Allatoona/allatoona_forebay_2010-09-29.png
Allatoona,LK_14_4494,2010-10-06,10,2010,28,28,37.90,0.84,24.13,17.50,3.02,0.08,0.08,Allatoona/allatoona_forebay_2010-10-06.png
